,Unnamed: 0,count(time),time
1191,1191,121,7:42:00 PM
1192,1192,126,7:43:00 AM
1193,1193,134,7:43:00 PM
1194,1194,140,7:44:00 AM
1195,1195,126,7:44:00 PM
1196,1196,266,7:45:00 AM
1197,1197,109,7:45:00 PM
1198,1198,129,7:46:00 AM
1199,1199,131,7:46:00 PM
1200,1200,157,7:47:00 AM
1201,1201,108,7:47:00 PM
1202,1202,133,7:48:00 AM
1203,1203,132,7:48:00 PM
1204,1204,150,7:49:00 AM
1205,1205,136,7:49:00 PM
1206,1206,133,7:50:00 AM
1207,1207,122,7:50:00 PM
1208,1208,121,7:51:00 AM
1209,1209,143,7:51:00 PM
1210,1210,148,7:52:00 AM
1211,1211,119,7:52:00 PM
1212,1212,147,7:53:00 AM
1213,1213,125,7:53:00 PM
1214,1214,139,7:54:00 AM
1215,1215,135,7:54:00 PM
1216,1216,136,7:55:00 AM
1217,1217,133,7:55:00 PM
1218,1218,144,7:56:00 AM
1219,1219,140,7:56:00 PM
1220,1220,106,7:57:00 AM
1221,1221,137,7:57:00 PM
1222,1222,132,7:58:00 AM
1223,1223,114,7:58:00 PM
1224,1224,130,7:59:00 AM
1225,1225,150,7:59:00 PM
1226,1226,258,8:00:00 AM
1227,1227,121,8:00:00 PM
1228,1228,136,8:01:00 AM
1229,1229,131,8:01:00 PM
1230,1230,147,8:02:00 AM
1231,1231,135,8:02:00 PM
1232,1232,123,8:03:00 AM
1233,1233,124,8:03:00 PM
1234,1234,149,8:04:00 AM
1235,1235,109,8:04:00 PM
1236,1236,143,8:05:00 AM
1237,1237,128,8:05:00 PM
1238,1238,133,8:06:00 AM
1239,1239,140,8:06:00 PM
1240,1240,126,8:07:00 AM
1241,1241,119,8:07:00 PM
1242,1242,125,8:08:00 AM
1243,1243,123,8:08:00 PM
1244,1244,114,8:09:00 AM
1245,1245,126,8:09:00 PM
1246,1246,119,8:10:00 AM
1247,1247,112,8:10:00 PM
1248,1248,127,8:11:00 AM
1249,1249,134,8:11:00 PM
1250,1250,122,8:12:00 AM
1251,1251,146,8:12:00 PM
1252,1252,124,8:13:00 AM
1253,1253,104,8:13:00 PM
1254,1254,118,8:14:00 AM
1255,1255,106,8:14:00 PM
1256,1256,215,8:15:00 AM
1257,1257,128,8:15:00 PM
1258,1258,139,8:16:00 AM
1259,1259,119,8:16:00 PM
1260,1260,111,8:17:00 AM
1261,1261,127,8:17:00 PM
1262,1262,121,8:18:00 AM
1263,1263,117,8:18:00 PM
1264,1264,130,8:19:00 AM
1265,1265,124,8:19:00 PM
1266,1266,157,8:20:00 AM
1267,1267,131,8:20:00 PM
1268,1268,129,8:21:00 AM
1269,1269,134,8:21:00 PM
1270,1270,131,8:22:00 AM
1271,1271,134,8:22:00 PM
1272,1272,1,8:22:44 PM
1273,1273,109,8:23:00 AM
1274,1274,148,8:23:00 PM
1275,1275,111,8:24:00 AM
1276,1276,112,8:24:00 PM
1277,1277,137,8:25:00 AM
1278,1278,126,8:25:00 PM
1279,1279,146,8:26:00 AM
1280,1280,121,8:26:00 PM
1281,1281,129,8:27:00 AM
1282,1282,134,8:27:00 PM
1283,1283,117,8:28:00 AM
1284,1284,125,8:28:00 PM
